species,wd,sla,hmax
Abies balsamea,0.4154759044167833,5.577333333333334,23.151555555555557
Acer negundo,0.5311666666666667,24.07331176730444,19.472068376068375
Acer pensylvanicum,0.44,28.107031618147396,11.667333333333332
Acer platanoides,0.47402733545361997,20.833714579175698,29.488888888888887
Acer rubrum,0.517874658872604,19.913718679886,29.066666666666666
Acer saccharinum,0.475,21.221621660327212,30.269176470588235
Acer saccharum,0.6200000000000001,22.090643884899393,30.215555555555554
Aesculus flava,0.3509915,26.62,29.8
Ailanthus altissima,0.52554725,31.769085739650002,22.5625
Betula alleghaniensis,0.605,25.543738585401677,29.13111111111111
Betula lenta,0.655,25.027058331666666,23.858666666666664
Betula nigra,0.5,15.754561916285507,23.97116666666667
Betula papyrifera,0.54,18.396264997294626,25.42857142857143
Betula populifolia,0.5,22.19408358851806,10.762666666666668
Carpinus caroliniana,0.6499999999999999,26.82877176049768,12.89375
Carya alba,0.685,20.79273313589003,23.333333333333332
Carya cordiformis,0.5925,28.259014593257724,39
Carya glabra,0.71,18.270983842903615,28.755555555555556
Carya illinoinensis,0.645,22.395762332,38.875
Carya laciniosa,0.6387499999999999,22.4,31.740000000000002
Carya ovata,0.685,16.867614750242307,35.38461538461539
Castanea dentata,0.45,19.3882641856875,20
Celtis laevigata,0.47,19.86995929403125,24.192
Celtis occidentalis,0.49,22.89820254614348,21.168
Cercis canadensis,0.65,25.157940739692485,10.92
Cornus florida,0.6834065081037883,19.53854239303099,12.233333333333334
Diospyros virginiana,0.6515,23.608572597543102,18.625454545454545
Fagus grandifolia,0.615,23.67484360033036,33.17647058823529
Fraxinus americana,0.595,19.454286619822014,27.76923076923077
Fraxinus nigra,0.49,22.40714753970282,22.791666666666664
Fraxinus pennsylvanica,0.555,17.869280559526953,31.208296296296297
Fraxinus quadrangulata,0.565,23.41,18.35
Ilex opaca,0.5,12.491213109472518,18.394
Juglans cinerea,0.38,18.800980392166665,26.625
Juglans nigra,0.535,22.535069942437502,40.225
Juniperus virginiana,0.4865995753813632,4.08,22.116666666666667
Larix laricina,0.53,14.652448787028305,25.392
Liquidambar styraciflua,0.4815529451108977,19.01545203480981,32.694545454545455
Liriodendron tulipifera,0.3575,27.823771878589625,52.83333333333333
Maclura pomifera,0.8,23.21,12.783999999999999
Magnolia acuminata,0.48,22.4,28.097142857142856
Magnolia fraseri,0.44,22.54,23.43
